Value,DenominatorWeighted,DenominatorUnweighted
36.8,356,350
14.6,246,256
15,356,350
79.2,246,256
83.3,356,350
20.8,246,256
16.7,356,350
7.2,246,256
10.6,356,350
2.4,246,256
1.8,356,350
0.2,246,256
0.6,356,350
0.5,246,256
1.1,356,350
9.1,246,256
10.3,356,350
16.2,246,256
12.1,356,350
246,356,256
356,356,350
256,246,350
350,356,350
50.1,12247,12247
38.3,12247,12247
31.2,12247,12247
6,12247,12247
11.6,12247,12247
0.7,12247,12247
100,12247,12247
12247,NA,12247
12247,12247,NA
46.4,52007,52465
40.8,52007,52465
34.1,52007,52465
5.7,52007,52465
12.8,52007,52465
0.7,52007,52465
100,52007,52465
52007,NA,52465
52465,52007,NA
95.6,11083,11083
56.8,11083,11083
1.7,11083,11083
1.3,11083,11083
26,11083,11083
8,11083,11083
1.1,11083,11083
2,11083,11083
0.4,11083,11083
1.6,11083,11083
2.4,11083,11083
100,11083,11083
11083,NA,11083
11083,11083,NA
96,37205,37925
54.3,37205,37925
1.4,37205,37925
0.9,37205,37925
28.1,37205,37925
9.9,37205,37925
1,37205,37925
1.7,37205,37925
0.4,37205,37925
1.4,37205,37925
2.2,37205,37925
100,37205,37925
37205,NA,37925
37925,37205,NA
86.3,12247,12247
38.9,12247,12247
19.5,12247,12247
3,12247,12247
0.7,12247,12247
1,12247,12247
0.1,12247,12247
13.2,12247,12247
11.8,12247,12247
1.4,12247,12247
0.5,12247,12247
100,12247,12247
83.5,52007,52465
36,52007,52465
19.3,52007,52465
3.4,52007,52465
0.7,52007,52465
0.9,52007,52465
0.1,52007,52465
15.9,52007,52465
14.4,52007,52465
1.5,52007,52465
0.7,52007,52465
100,52007,52465
63.2,12247,12247
28.5,12247,12247
6.7,12247,12247
1.6,12247,12247
60.4,52007,52465
29.5,52007,52465
8.4,52007,52465
1.7,52007,52465
12247,52007,12247
12247,12247,12247
52007,12247,12247
52465,52007,52465
95.3,11083,11083
45.1,11083,11083
14.1,11083,11083
2.8,11083,11083
0.2,11083,11083
0.3,11083,11083
0.5,11083,11083
2.1,11083,11083
0.9,11083,11083
4.7,11083,11083
1.3,11083,11083
0.9,11083,11083
2.3,11083,11083
0.3,11083,11083
100,11083,11083
93.4,37205,37925
45.5,37205,37925
13.6,37205,37925
2.8,37205,37925
0.2,37205,37925
0.4,37205,37925
0.5,37205,37925
2,37205,37925
0.7,37205,37925
6.6,37205,37925
1.8,37205,37925
1.2,37205,37925
3.4,37205,37925
0.2,37205,37925
100,37205,37925
78.5,11083,11083
16.4,11083,11083
4.5,11083,11083
0.6,11083,11083
76.7,37205,37925
16.9,37205,37925
5.8,37205,37925
0.6,37205,37925
4.8,11083,11083
1.2,11083,11083
0.1,11083,11083
1.4,11083,11083
0,11083,11083
0.7,11083,11083
91.9,11083,11083
0,11083,11083
7.3,11083,11083
11083,11083,11083
11083,11083,11083
4.6,37205,37925
1.3,37205,37925
0,37205,37925
1.2,37205,37925
0,37205,37925
0.8,37205,37925
92.2,37205,37925
0,37205,37925
6.9,37205,37925
37205,37205,37925
37925,37205,37925
9.8,1404,1468
27.4,1404,1468
-1.1,1404,1468
0.6,1384,1449
2.5,1384,1449
13.3,1384,1449
0.6,1384,1449
1.1,1416,1479
5.9,1416,1479
4.5,1416,1479
-0.2,1416,1479
1.5,3272,3405
3272,3272,3405
3405,3272,3405
28.3,3081,3210
34.7,3081,3210
3.1,3081,3210
2.6,3081,3210
0.5,3081,3210
62.2,3081,3210
26.3,3081,3210
35.9,3081,3210
3081,3081,3210
3210,3081,3210
0.3,3202,3179
3202,3202,3179
3179,3202,3179
23,2336,2457
65.2,2336,2457
9.6,2336,2457
7.4,2336,2457
2.2,2336,2457
25.1,2336,2457
17.2,2336,2457
7.9,2336,2457
2336,2336,2457
2457,2336,2457
87.4,1623,1613.5
38.9,1623,1613.5
6.9,499,505
6.3,499,505
40.9,499,505
83.4,499,505
59.4,505,514
16,1386,1376
84,1386,1376
67.3,1386,1376
31.6,345,346
13.6,345,346
17.6,345,346
74.8,345,346
44.7,363,363
10.7,363,386
11.2,363,386
68.4,504,491
30.6,504,491
39.9,867,877
50.2,867,877
22.5,867,877
11.8,8514,11805
76.2,8514,11805
8.2,8514,11805
3.5,8514,11805
0.1,8514,11805
0.1,8514,11805
100,8514,11805
96.3,8514,11805
8514,8514,11805
11805,8514,11805
10.8,3202,3179
71.4,3202,3179
12.8,3202,3179
4.9,3202,3179
0.1,3202,3179
0,3202,3179
100,3202,3179
94.9,3202,3179
3202,3202,3179
3179,3202,3179
8,4459,4459
4324,4459,4459
4459,NA,NA
54.5,2993,2993
2955,2993,2993
2993,NA,NA
40.3,3857,3857
48.7,3857,3857
3721,3857,3857
3857,NA,NA
21.8,1858,1858
1811,1858,1858
1858,NA,NA
2343,2390,2390
2390,NA,NA
57.6,6489,6489
6586,6489,6489
6489,NA,NA
60,3866,3866
3793,3866,3866
3866,NA,NA
68.7,2532,2532
2603,2532,2532
2532,NA,NA
68.4,1799,1799
1787,1799,1799
1799,NA,NA
4.5,6717.5,6717.5
8514,6717.5,6717.5
8514,NA,NA
57.6,394,394
387,394,394
394,NA,NA
3.9,6717.5,6717.5
7205,6717.5,6717.5
7182,NA,NA
17,3179,3179
3202,3179,3179
3179,NA,NA
65.3,535,535
544,535,535
535,NA,NA
14.7,2467,2467
2488,2467,2467
2467,NA,NA
1.5,6717.5,6717.5
3.1,6717.5,6717.5
68.1,394,394
387,394,394
394,NA,NA
4.7,3179,3179
12.1,3179,3179
71,544,544
544,544,544
535,NA,NA
4.7,3179,3179
2.9,3179,3179
83.1,86,86
92,86,86
86,NA,NA
6.1,2913,2913
2842,2913,2913
2913,NA,NA
50.3,1995,1995
1984,1995,1995
1995,NA,NA
14.6,1307,1307
1235,1307,1307
1307,NA,NA
66.2,888,888
848,888,888
888,848,NA
37.4,2621,2621
57.1,2621,2621
2508,2621,2621
2621,NA,NA
62.7,1471,1471
1431,1471,1471
1471,NA,NA
30.7,1268,1268
62.5,1268,1268
1191,1268,1268
1268,NA,NA
75.9,783,783
744,783,783
783,NA,NA
4.6,2913,2913
7.5,1754,1754
1757,1754,1754
1754,NA,NA
61.4,153,153
132,153,153
153,NA,NA
20.7,1307,1307
32.4,820,820
788,820,820
820,NA,NA
72.9,244,244
256,244,244
244,NA,NA
5.9,1153,1153
575,1153,1153
1153,NA,NA
0.1,308,308
287,308,308
308,NA,NA
